house_id,bedrooms,bathrooms,area,zipcode,price,frontal_image,kitchen_image,bedroom_image,bathroom_image,description,generation_time_seconds,processed_at
2,4.0,3.0,3343,36372,865200,Houses-dataset/Houses Dataset/2_frontal.jpg,Houses-dataset/Houses Dataset/2_kitchen.jpg,Houses-dataset/Houses Dataset/2_bedroom.jpg,Houses-dataset/Houses Dataset/2_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, gable, in excellent condition
• Siding/Facade: Stone veneer on pillars and accent walls, stucco on main walls, tan or beige color
• Garage/Parking: 3-car attached garage, roll-up doors
• Landscaping/Hardscaping: Xeriscape with desert plants (e.g., agave), gravel driveway, concrete walkways
• Windows: Arched window above the front door, double-hung windows visible in the exterior shot

INTERIOR FINISHES & MATERIALS
• Flooring: Ceramic tile in kitchen, bedroom, and bathroom; wall-to-wall carpet not visible
• Lighting: Recessed lighting in ceiling, chandelier over kitchen island, track lighting in kitchen, natural light levels appear high
• Ceilings: Vaulted ceiling in kitchen with exposed wooden beams

KITCHEN DETAILS
• Cabinetry: Dark wood, raised-panel style, traditional finish
• Countertops: Granite, speckled beige and brown
• Appliances: Stainless steel refrigerator, stainless steel oven and microwave, stainless steel range
• Layout/Features: Kitchen island with granite countertop, peninsula layout, eat-in dining area, stone tile backsplash

BATHROOM DETAILS
• Vanity: Single sink, granite countertop, wooden vanity cabinet
• Tub/Shower: Not visible in the provided images
• Fixtures: Chrome or brushed nickel finish fixtures

BEDROOM & LIVING FEATURES
• Key Features: Large wooden bed frame, built-in closet not visible, sliding glass doors not visible
• Window Treatments: Not visible in the provided images

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s new construction or major renovation
• Atmosphere: Luxurious, spacious, warm, traditional, well-maintained",25.909120559692383,2025-11-29T18:12:15.030432
1,4.0,4.0,4053,85255,869500,Houses-dataset/Houses Dataset/1_frontal.jpg,Houses-dataset/Houses Dataset/1_kitchen.jpg,Houses-dataset/Houses Dataset/1_bedroom.jpg,Houses-dataset/Houses Dataset/1_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Contemporary with Southwestern influences
• Roof: Low-pitched, dark-colored asphalt shingle roof with gable ends
• Siding/Facade: Stucco finish in a light beige or tan color, accented with stacked stone veneer on the lower portion of the exterior walls
• Garage/Parking: 2-car attached garage with a single, dark-colored garage door visible
• Landscaping/Hardscaping: Desert xeriscape with gravel mulch, large saguaro cactus, other desert succulents and shrubs, and a concrete walkway leading to the front door
• Windows: Large, arched window with multiple panes on the main facade; smaller, rectangular windows on the garage side

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in the bedroom; ceramic tile in the kitchen and dining area; hardwood flooring in the living area (implied by the dining room setting)
• Lighting: Recessed lighting in the ceiling; a large, ornate chandelier over the dining table; ceiling fan with light fixture in the bedroom
• Ceilings: Standard height ceilings with crown molding in the bedroom; vaulted or tray ceiling in the kitchen/dining area

KITCHEN DETAILS
• Cabinetry: Wood cabinetry in a medium brown finish with raised-panel doors
• Countertops: Light-colored granite or quartz countertops
• Appliances: Stainless steel refrigerator with a water and ice dispenser; stainless steel range hood; stainless steel dishwasher (implied by the kitchen layout)
• Layout/Features: Kitchen island with seating; peninsula layout; eat-in dining area with a large wooden table and chairs; stone tile backsplash

BATHROOM DETAILS
• Vanity: Single sink with a white ceramic basin; white cabinet with a countertop
• Tub/Shower: Not visible in the provided image
• Fixtures: Chrome or brushed nickel fixtures on the sink

BEDROOM & LIVING FEATURES
• Key Features: Large bed with a wooden headboard; built-in shelving (implied by the wall-mounted TV and storage); sliding glass doors (implied by the large windows and outdoor view)
• Window Treatments: Roman shades with dark brown valances over the windows

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s to early 2010s renovation
• Atmosphere: Spacious, cozy, and well-appointed with a blend of traditional and contemporary elements",32.26895618438721,2025-11-29T18:12:21.388874
3,3.0,4.0,3923,85266,889000,Houses-dataset/Houses Dataset/3_frontal.jpg,Houses-dataset/Houses Dataset/3_kitchen.jpg,Houses-dataset/Houses Dataset/3_bedroom.jpg,Houses-dataset/Houses Dataset/3_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Contemporary
• Roof: Flat, light-colored material, appears to be concrete or stucco
• Siding/Facade: Stucco, light beige or tan color
• Garage/Parking: 2-car attached garage with a single door, likely a standard roll-up or overhead door
• Landscaping/Hardscaping: Xeriscape design with gravel ground cover, desert succulents, agave plants, and a large cactus. A small tree with a distinctive, gnarled trunk is centrally located. Concrete or paver driveway and walkways. Low-profile landscape lighting.
• Windows: Not clearly visible from the exterior, but appear to be standard rectangular windows with light-colored frames.

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in the bedroom, ceramic tile in the kitchen, and tile flooring in the bathroom. The living area (visible through the kitchen doorway) appears to have tile flooring as well.
• Lighting: Recessed lighting throughout. Ceiling fans with light fixtures in the kitchen and bedroom. Natural light is visible in the bedroom and kitchen.
• Ceilings: Standard height ceilings with smooth finish.

KITCHEN DETAILS
• Cabinetry: Medium-toned wood, likely oak or maple, with a raised-panel style and a semi-gloss finish.
• Countertops: Dark, speckled granite or quartz.
• Appliances: Stainless steel dishwasher is visible. The refrigerator and stove are not clearly visible, but the kitchen appears to have modern appliances.
• Layout/Features: L-shaped layout with a central kitchen island. The island has a matching granite countertop. A peninsula extends from the main counter. A large range hood is visible above the stove. The kitchen opens into the living area.

BATHROOM DETAILS
• Vanity: Single sink vanity with a light-colored countertop (possibly quartz or laminate). The vanity cabinet is made of medium-toned wood with a raised-panel style. The mirror is large and rectangular.
• Tub/Shower: Not visible in the provided image.
• Fixtures: Chrome or stainless steel fixtures.

BEDROOM & LIVING FEATURES
• Key Features: Large, dark wood sleigh bed with upholstered headboard. A built-in closet is visible in the background. A fireplace is not visible in the bedroom, but a fireplace is visible in the living area through the doorway.
• Window Treatments: Vertical blinds on the window.

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s renovation or construction. The kitchen and bathroom fixtures suggest a modern update, while the bedroom decor has a more traditional, dated feel.
• Atmosphere: Spacious, open concept, and modern. The kitchen is well-lit and functional. The bedroom is cozy and inviting. The bathroom is bright and cheerful.",35.693052530288696,2025-11-29T18:12:24.815626
4,5.0,5.0,4022,85262,910000,Houses-dataset/Houses Dataset/4_frontal.jpg,Houses-dataset/Houses Dataset/4_kitchen.jpg,Houses-dataset/Houses Dataset/4_bedroom.jpg,Houses-dataset/Houses Dataset/4_bathroom.jpg,"1. ARCHITECTURAL & EXTERIOR ANALYSIS
  • Architecture Style: Contemporary with Southwestern influences
  • Roof: Asphalt shingle, gable style, appears in good condition
  • Siding/Facade: Combination of stucco (light beige) and stone veneer (brownish-red) on the main structure; garage door is a standard single-car attached unit with a dark finish
  • Garage/Parking: 1-car attached garage with a standard overhead door; driveway is paved asphalt
  • Landscaping/Hardscaping: Xeriscape design with desert vegetation including succulents, low-lying shrubs, and a large, leafy tree (possibly a Palo Verde) on the right. The driveway and walkways are paved asphalt. The front yard is covered in light-colored gravel.
  • Windows: Not clearly visible from the exterior image, but the visible openings appear to be standard rectangular windows with dark frames.

2. INTERIOR FINISHES & MATERIALS
  • Flooring: Ceramic tile in the kitchen and dining area; wall-to-wall carpet in the bedroom.
  • Lighting: Recessed lighting in the ceiling; track lighting above the kitchen island; natural light appears to be abundant.
  • Ceilings: Standard height, smooth, painted white.

3. KITCHEN DETAILS
  • Cabinetry: Warm, medium-toned wood (possibly oak or maple) with raised-panel doors and a natural finish.
  • Countertops: Granite with a speckled pattern of beige, gray, and black.
  • Appliances: Stainless steel refrigerator, built-in microwave, and double wall oven.
  • Layout/Features: Open-concept layout with a large kitchen island featuring a granite countertop and bar stools. The kitchen has a peninsula layout with a breakfast bar. The backsplash is made of dark, speckled granite tiles.

4. BATHROOM DETAILS
  • Vanity: Single sink with a dark wood vanity cabinet. The countertop appears to be a light-colored stone or quartz.
  • Tub/Shower: Glass-enclosed shower with a modern, minimalist design.
  • Fixtures: Chrome or brushed nickel finish on the faucet and shower fixtures.

5. BEDROOM & LIVING FEATURES
  • Key Features: Not visible in the provided image.
  • Window Treatments: Not visible in the provided image.

6. OVERALL CONDITION & VIBE
  • Era/Decade Estimate: Mid-2000s to early 2010s, based on the kitchen appliances, cabinetry style, and overall design aesthetic.
  • Atmosphere: Spacious, modern, and well-maintained with a warm, inviting feel. The kitchen is bright and functional, while the bedroom has a cozy, comfortable ambiance.",30.32758092880249,2025-11-29T18:12:45.733323
5,3.0,4.0,4116,85266,971226,Houses-dataset/Houses Dataset/5_frontal.jpg,Houses-dataset/Houses Dataset/5_kitchen.jpg,Houses-dataset/Houses Dataset/5_bedroom.jpg,Houses-dataset/Houses Dataset/5_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, multi-gabled, in excellent condition
• Siding/Facade: Stucco, light taupe or beige color
• Garage/Parking: 2-car attached garage with arched entry doors
• Landscaping/Hardscaping: Desert xeriscape with cacti, low-lying shrubs, and small trees; concrete driveway; curved walkway
• Windows: Arched windows with decorative trim; some windows feature louvered shutters; circular window above the front door

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in bedroom; hardwood flooring in kitchen; ceramic tile in bathroom
• Lighting: Recessed lighting throughout; pendant lights over kitchen island; ceiling fan with light in bedroom; track lighting in bathroom
• Ceilings: Vaulted ceiling in kitchen; tray ceiling in bathroom; standard height ceiling in bedroom

KITCHEN DETAILS
• Cabinetry: Dark wood, raised-panel style, with glass-front upper cabinets
• Countertops: Granite with speckled pattern
• Appliances: Stainless steel double oven and microwave; stainless steel refrigerator (partially visible); stainless steel dishwasher (partially visible)
• Layout/Features: Kitchen island with granite countertop and ornate wooden support posts; peninsula layout; eat-in dining area; tiled backsplash

BATHROOM DETAILS
• Vanity: Double sink vanity with dark wood cabinetry and white countertop; large mirror with wood frame
• Tub/Shower: Freestanding soaking tub with white surround; separate glass-enclosed shower stall
• Fixtures: Chrome or brushed nickel fixtures

BEDROOM & LIVING FEATURES
• Key Features: Four-poster bed with ornate wooden posts; built-in armoire; large bay window with louvered shutters; ceiling fan with light
• Window Treatments: Louvered shutters on bay windows

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Modern new build or recent luxury renovation (2010s)
• Atmosphere: Spacious, luxurious, and elegant",24.120772123336792,2025-11-29T18:12:45.840669
6,4.0,5.0,4581,85266,1249000,Houses-dataset/Houses Dataset/6_frontal.jpg,Houses-dataset/Houses Dataset/6_kitchen.jpg,Houses-dataset/Houses Dataset/6_bedroom.jpg,Houses-dataset/Houses Dataset/6_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, low-pitched, gable shape, in excellent condition
• Siding/Facade: Stucco, light taupe or beige color
• Garage/Parking: Not visible in provided images
• Landscaping/Hardscaping: Xeriscape design with desert vegetation including cacti and agave plants, gravel ground cover, concrete or paver driveway, low retaining walls
• Windows: Arched windows with white trim, double-hung style, some with shutters

INTERIOR FINISHES & MATERIALS
• Flooring: Ceramic tile in kitchen and bathroom, wall-to-wall carpet in bedroom, light-colored tile in living areas
• Lighting: Recessed lighting in ceiling, chandeliers over kitchen island and bathroom, ceiling fan with light in bedroom
• Ceilings: Standard height, with crown molding in kitchen and living areas

KITCHEN DETAILS
• Cabinetry: White, raised-panel style, glossy finish
• Countertops: Granite or quartz, light-colored with speckled pattern
• Appliances: Stainless steel refrigerator, stainless steel oven and cooktop, stainless steel dishwasher
• Layout/Features: Kitchen island with built-in oven, peninsula layout, eat-in dining area, backsplash is white subway tile

BATHROOM DETAILS
• Vanity: Single sink, white marble or quartz countertop, white cabinet with drawer
• Tub/Shower: Freestanding white bathtub, separate shower area with glass enclosure, black and white mosaic tile accent wall
• Fixtures: Chrome or brushed nickel finish fixtures

BEDROOM & LIVING FEATURES
• Key Features: Large window with shutters, ceiling fan with light, built-in shelving in closet, sliding glass doors to patio (not visible in image)
• Window Treatments: White plantation shutters

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Modern renovation, likely built in the 2000s or later
• Atmosphere: Spacious, luxurious, open concept, well-lit, contemporary design",22.726378917694092,2025-11-29T18:12:47.827442
9,3.0,4.0,4229,85255,1749000,Houses-dataset/Houses Dataset/9_frontal.jpg,Houses-dataset/Houses Dataset/9_kitchen.jpg,Houses-dataset/Houses Dataset/9_bedroom.jpg,Houses-dataset/Houses Dataset/9_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, multi-gable, well-maintained
• Siding/Facade: Stucco, light tan or beige color
• Garage/Parking: 2-car attached garage, single car door visible, likely single car door style
• Landscaping/Hardscaping: Low desert vegetation, gravel landscaping, paved driveway with interlocking pavers, stone border, pathway lighting
• Windows: Arched windows, double-hung style, some with decorative grilles

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in bedroom, ceramic tile in kitchen, tile flooring in bathroom
• Lighting: Recessed lighting, pendant lighting over kitchen island, ceiling fan with light in bedroom, track lighting in kitchen
• Ceilings: Standard height, tray ceiling in bedroom

KITCHEN DETAILS
• Cabinetry: Dark wood, raised-panel style, glossy finish
• Countertops: Granite, speckled pattern
• Appliances: Stainless steel refrigerator, stainless steel range with gas cooktop, stainless steel range hood, microwave
• Layout/Features: Kitchen island with bar seating, peninsula layout, backsplash with mosaic tile

BATHROOM DETAILS
• Vanity: Single sink, dark wood vanity cabinet with drawers, dark countertop
• Tub/Shower: Not visible in provided image
• Fixtures: Not visible in provided image

BEDROOM & LIVING FEATURES
• Key Features: Sleigh bed, fireplace (brick or stone not visible), built-in shelving (not visible), walk-in closet (not visible)
• Window Treatments: Drapes, blinds

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s renovation or construction
• Atmosphere: Spacious, luxurious, warm, inviting",21.69471836090088,2025-11-29T18:13:09.870165
7,3.0,4.0,2544,85262,799000,Houses-dataset/Houses Dataset/7_frontal.jpg,Houses-dataset/Houses Dataset/7_kitchen.jpg,Houses-dataset/Houses Dataset/7_bedroom.jpg,Houses-dataset/Houses Dataset/7_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, gable shape, in good condition
• Siding/Facade: Stucco, light tan or beige color
• Garage/Parking: Not visible in provided images
• Landscaping/Hardscaping: Desert xeriscape with saguaro cacti, creosote bushes, and palo verde trees; gravel driveway and walkways; concrete sidewalk
• Windows: Multi-pane, rectangular, with dark frames; some appear to have decorative grilles or louvered shutters

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in bedroom; ceramic tile in kitchen and bathroom; light-colored tile in entryway
• Lighting: Recessed lighting in ceiling; pendant lights over kitchen island and bar; chandelier in adjacent dining area; natural light from large windows
• Ceilings: Vaulted or tray ceiling in kitchen and dining area; standard height in bedroom

KITCHEN DETAILS
• Cabinetry: Light wood finish, raised-panel style, with natural wood grain
• Countertops: Granite, with brown, beige, and black veining
• Appliances: Stainless steel refrigerator and dishwasher visible; stainless steel gas range with black grates
• Layout/Features: Large central island with built-in cooktop; breakfast bar with three barstools; peninsula layout; backsplash appears to be stone or tile

BATHROOM DETAILS
• Vanity: Double sink vanity with two white ceramic sinks; wooden cabinet with dark finish; granite countertop
• Tub/Shower: Not visible in provided images
• Fixtures: Brass or bronze finish faucets and fixtures

BEDROOM & LIVING FEATURES
• Key Features: Four-poster bed with dark wood frame; ceiling fan with wooden blades; built-in shelving visible in adjacent area; walk-in closet visible in background
• Window Treatments: Not visible in provided images

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s renovation or construction, based on modern appliances, lighting, and finishes
• Atmosphere: Spacious, open concept, luxurious, and well-maintained",24.806380033493042,2025-11-29T18:13:10.995039
8,4.0,5.0,5524,85266,1698000,Houses-dataset/Houses Dataset/8_frontal.jpg,Houses-dataset/Houses Dataset/8_kitchen.jpg,Houses-dataset/Houses Dataset/8_bedroom.jpg,Houses-dataset/Houses Dataset/8_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, low-pitched, gable shape, in good condition
• Siding/Facade: Stucco (light beige/tan), accented with stone veneer (brownish-gray) on chimney, entryway, and window surrounds
• Garage/Parking: Not visible in provided images
• Landscaping/Hardscaping: Xeriscape with gravel ground cover, desert succulents (agave, yucca), low-water plants, and a curved paver stone driveway
• Windows: Rectangular, double-hung, dark-framed, recessed into stucco walls; some windows have stone surrounds

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in bedroom, hardwood flooring in kitchen, ceramic tile in bathroom
• Lighting: Recessed lighting in all rooms, ceiling fan with light in bedroom, track lighting in kitchen
• Ceilings: Standard height with crown molding in bedroom and kitchen

KITCHEN DETAILS
• Cabinetry: Dark wood (cherry or mahogany finish), raised-panel style, with glass-front upper cabinets
• Countertops: Granite (light brown with veining)
• Appliances: Stainless steel refrigerator, double wall oven, stainless steel range with gas cooktop, dishwasher present
• Layout/Features: Kitchen island with white base cabinets and granite countertop, peninsula layout, stone fireplace/feature wall with built-in shelves, eat-in area implied by island

BATHROOM DETAILS
• Vanity: Double sink vanity with dark wood cabinetry, granite countertop, large mirror above
• Tub/Shower: Freestanding soaking tub with chrome fixtures, separate shower not visible
• Fixtures: Chrome or brushed nickel finish on faucets and fixtures

BEDROOM & LIVING FEATURES
• Key Features: Large walk-in closet (not fully visible), built-in dresser, ceiling fan with light, sliding glass doors (not visible, but implied by view from bedroom)
• Window Treatments: Not visible; windows appear to have no drapes or blinds

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Modern new build or recent renovation (2010s)
• Atmosphere: Spacious, luxurious, clean, and well-maintained",26.18747901916504,2025-11-29T18:13:12.462784
11,5.0,5.0,4829,85266,519200,Houses-dataset/Houses Dataset/11_frontal.jpg,Houses-dataset/Houses Dataset/11_kitchen.jpg,Houses-dataset/Houses Dataset/11_bedroom.jpg,Houses-dataset/Houses Dataset/11_bathroom.jpg,"ARCHITECTURAL & EXTERIOR ANALYSIS
• Architecture Style: Spanish Revival
• Roof: Clay tile, low-pitched, gable shape, appears in good condition
• Siding/Facade: Stucco, light beige or tan color
• Garage/Parking: Not visible in provided images
• Landscaping/Hardscaping: Desert xeriscape with gravel ground cover, large saguaro cactus, rounded desert shrubs, paved walkway with brick pavers
• Windows: Arched windows with decorative grilles, recessed lighting accenting the facade

INTERIOR FINISHES & MATERIALS
• Flooring: Wall-to-wall carpet in bedroom, ceramic tile in bathroom, hardwood flooring not visible in provided images
• Lighting: Recessed lighting in ceiling, chandeliers in bathroom, ceiling fan with light in bedroom, track lighting in bathroom vanity area, ample natural light in bedroom
• Ceilings: Tray ceiling in bedroom, standard height in bathroom

KITCHEN DETAILS
• Cabinetry: Not visible in provided images
• Countertops: Not visible in provided images
• Appliances: Not visible in provided images
• Layout/Features: Not visible in provided images

BATHROOM DETAILS
• Vanity: Double sink vanity with wooden cabinetry, granite or marble countertop, large mirrors
• Tub/Shower: Freestanding bathtub with tiled surround, glass-enclosed shower stall
• Fixtures: Brushed nickel or chrome fixtures, towel racks, shower controls

BEDROOM & LIVING FEATURES
• Key Features: Ceiling fan with light, built-in shelving above bed, desk with chair, sliding glass doors not visible in provided images
• Window Treatments: Horizontal blinds on window

OVERALL CONDITION & VIBE
• Era/Decade Estimate: Mid-2000s renovation or construction, based on modern fixtures and finishes
• Atmosphere: Luxurious, spacious, well-lit, cozy, and inviting",23.336063385009766,2025-11-29T18:13:34.693802
